paradigm,occurrence
Imperative,174
Object-oriented,152
Multi-paradigm language,138
Functional,133
Procedural,89
Structured,88
Concurrent,25
Event-driven,22
Scripting language,21
Declarative,20
Reflective,20
Modular,18
Logic,18
Generic,17
Array,16
Metaprogramming,14
Parallel,12
Prototype-based,12
Reflection (computer science),9
Educational language,8
Compiled language,7
Dataflow,6
Concurrent computing,6
Visual language,5
Stack-oriented language,5
Distributed,5
Reactive,4
Non-strict language,4
Simulation language,4
Domain-specific language,4
Message passing,4
Unstructured,3
Lazy evaluation,3
Function-level,3
Esoteric language,3
Concatenative language,3
Knowledge representation,3
Programming paradigm,3
Aspect-oriented,3
Term-rewriting,3
Interpreted language,2
Stack-based,2
Assembly language,2
Query language,2
Distributed computing,2
Pipeline,2
Typesetting,2
Design by contract,2
Constraint,2
Concurrent constraint logic,2
Computer simulation,2
Markup language,1
Constraint logic,1
Formal verification,1
Nondeterministic,1
Component-based software engineering,1
Action language,1
Logic Programming,1
Embedded system,1
Dependent type,1
Agent-oriented,1
Synchronous language,1
Graphical,1
Concept,1
High-level assembler,1
Data-driven,1
Language oriented,1
Data exchange language,1
The Task-based Asynchronous Pattern,1
Protocol (object-oriented),1
Block (programming),1
Process-oriented,1
Template engine (web),1
Pi calculus,1
Real-time computing,1
Multi-core processor,1
Fourth-generation language,1
End-user development,1
Scripting Language,1
Data-centric language,1
Class-based,1
Structural Equation Modeling,1
Declarative Language,1
Natural language,1
Tacit,1
Object-capability model,1
Reversible computing,1
Actor model,1
Algebraic types,1
Prototype-oriented,1
Object-oriented analysis and design,1
Purely functional,1
Object database,1
Distributed cache,1
In-memory database,1
In-Memory Processing,1
Symbolic,1
Extensible,1
Algorithmic_programming,1
Expression-oriented language,1
Rewriting,1
Parallel model,1
